Course Title,Provider,Academic Year,Subjects,Study Options,Duration,Location
Engineering,University of York,2024,"Engineering, Technology, Electronics, Electrical engineering, Mechanical engineering, Mechatronics",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Heslington, None, York, YO10 5DD, Unknown"
International Relations,Nottingham Trent University,2024,International relations,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","City Campus, Nottingham Trent University, None, Nottingham, NG1 4FQ, Unknown"
Public Health,University of Greenwich,2024,"Epidemiology, Research methods, Community development, Public health, Ethics",Part-time,"{'quantity': 6, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University of Greenwich (Greenwich Campus), Old Royal Naval College, , London, SE10 9LS, Unknown"
Hospitality and Hotel Management,City College Plymouth,2024,"Business and management, Customer relations, Tourism, Environmental sustainability, Leadership, Events management, Research methods, Customer services, Hospitality services, Hospitality management",Full-time,"{'quantity': 2, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Kings Road, None, Plymouth, PL1 5QG, Unknown"
Tourism and Hospitality Management,Coventry University,2024,"Hospitality services, Strategic management, Tourism, Management",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","CU Coventry, 8 Mile Lane, , Coventry, CV1 2TU, Unknown"
Biomedical Engineering,University of Hull,2024,"Biomedical engineering, Engineering, Biotechnology, Science, Biomedical sciences",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","The University of Hull, Cottingham Road, None, Hull, HU6 7RX, Unknown"
Chemistry,University of Manchester,2024,Chemistry,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University Recruitment And Adm, , Manchester, M13 9PL, Unknown"
Business Management,University of East Anglia UEA,2024,"Management, Business studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University of East Anglia, None, Norwich, NR4 7TJ, Unknown"
Fine Art: Computational Arts,University of the Arts London,2024,"Arts, Fine art, Modern art, Visual arts",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Camberwell College of Arts, Peckham Road, None, London, SE5 8UF, Unknown"
Biochemistry,University of Huddersfield,2024,"Science, Biochemistry, Chemistry, Biology, Biological sciences, Biochemical endocrinology, Biochemical engineering, Genetics",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Queensgate, None, Huddersfield, HD1 3DH, Unknown"
Media and Communications,"Goldsmiths, University of London",2024,"Media studies, Communication studies, Philosophy, Sociology, Cultural studies, Media production",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Goldsmiths, University of London, None, London, SE14 6NW, Unknown"
Chemical Engineering,Lancaster University,2024,Chemical engineering,Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Admissions, , Lancaster, LA1 4YW, Unknown"
Software Engineering,Coventry University,2024,"Software engineering, Engineering, Software",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Priory Street, None, Coventry, CV1 5FB, Unknown"
Chemical Engineering,University of Huddersfield,2024,"Science, Chemical engineering, Engineering, Chemical process engineering, Chemistry",Sandwich,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Queensgate, None, Huddersfield, HD1 3DH, Unknown"
Archaeology,Durham University,2024,"Archaeology, Archaeological method, Archaeological conservation, Classical archaeology, Funerary archaeology, Ancient history",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Durham City, Palatine Centre, , Durham, DH1 3HP, Unknown"
Philosophy,The University of Edinburgh,2024,Philosophy,Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Central area campus, George Square, None, Edinburgh, EH8 9JZ, Unknown"
International Hospitality Management,University of Central Lancashire,2024,"Hospitality management, International studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Admissions Office, , Preston, PR1 2HE, Unknown"
Aerospace Engineering,University of Birmingham,2024,"Engineering, Aerospace engineering",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Academic and Student Division, None, Birmingham, B15 2TT, Unknown"
Wildlife Ecology and Conservation Science,"Bristol, University of the West of England",2024,"Wildlife management, Ecology, Environmental conservation",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Frenchay Campus, Coldharbour Lane, , Bristol, BS16 1QY, Unknown"
Geography,Coventry University,2024,"Geography, Physical geography",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Priory Street, None, Coventry, CV1 5FB, Unknown"
Astrophysics with Foundation Year,Keele University,2024,"Astrophysics, Quantum mechanics, Physics, Applied physics, Molecular physics, Astronomy, Atmospheric sciences",Full-time including foundation year,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Keele University, None, Keele, ST5 5BG, Unknown"
Cognitive Neuroscience and Psychology,University of Manchester,2024,"Neurobiology, Psychology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University Recruitment And Adm, , Manchester, M13 9PL, Unknown"
Mathematics and Physics,University of Surrey,2024,"Physics, Mathematics, Statistics, Pure mathematics, Applied mathematics, Astrophysics, Quantum mechanics, Particle physics, Nuclear physics, Theoretical physics, Astronomy, Mathematical physics",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Stag Hill, Stag Hill, None, Guildford, GU2 7XH, Unknown"
European Planning,Queen's University Belfast,2024,"Rural development, Urban regeneration, Planning, Humanities, European economics, Town planning",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University Road, None, Belfast, BT7 1NN, Unknown"
Anthropology and Archaeology,Queen's University Belfast,2024,"Anthropology, Archaeology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University Road, None, Belfast, BT7 1NN, Unknown"
Wildlife and Conservation Management,SRUC Scotland's Rural College,2024,"Environmental conservation, Wildlife management, Environmental studies, Rural resources management, Recreation, Outdoor education, Environment, Environmental science, Pollution, Environmental protection",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Aberdeen, Craibstone Estate, None, Aberdeen, AB21 9YA, Unknown"
International Relations,University of Exeter,2024,"International relations, Politics, European politics, International studies, Political sociology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University of Exeter - Exeter campuses, Northcote House, Exeter, Devon, EX4 4QJ, Unknown"
Veterinary Science,University of Bristol,2024,Veterinary medicine,Full-time,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Beacon House, , Bristol, BS8 1QU, Unknown"
Drama & Theatre,Liverpool Hope University,2024,"Drama studies, Theatre studies, Performing arts, Acting, Creative arts, Drama in education, Drama therapy, Dramatic literature, Media production, Movement studies, Theatre design, Theatre production, Theatre sound, Theatrical costume, Voice studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Hope Park, Hope Park, None, Liverpool, L16 9JD, Unknown"
Medicine with Foundation Year (Bachelor of Medicine & Bachelor of Surgery),University of Central Lancashire,2024,"Medicine and surgery, Medical education",Full-time,"{'quantity': 6, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Westlakes Campus, Westlakes Science and Technology Park, Whitehaven, Carlisle, CA24 3JY, Unknown"
Biomedical Engineering with Industrial Experience,Queen Mary University of London,2024,"Biomedical engineering, Biomechanics, Biomedical materials science, Biotechnology, Engineering, Medical electronics, Medical technology",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Mile End Road, None, London, E1 4NS, Unknown"
Biology with Biotechnology,Bangor University,2024,"Biotechnology, Biology, Zoology, Animal biology, Climate studies, Marine biology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Bangor University, None, Bangor, Gwynedd, LL57 2DG, Unknown"
Education,London South Bank University,2024,Educational studies,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","LSBU Main Site - Southwark Campus, 103 Borough Road, None, London, SE1 0AA, Unknown"
Applied Biomedical Science,University of Greenwich,2024,"Biomedical sciences, Biomedical materials science",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University of Greenwich (Medway Campus), Central Avenue, None, Chatham, ME4 4TB, Unknown"
Electrical & Electronic Engineering,Imperial College London,2024,"Electrical engineering, Electronic engineering, Engineering, Electronic engineering design, Electronic materials, Electronic engineering production, Electronic systems engineering, Power electronic engineering",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Imperial College, , London, SW7 2AZ, Unknown"
Aquaculture and Fishery Management (Top-up),University Centre Sparsholt,2024,"Fish farming, Aquaculture, Fish biology, Fishing, Fishery harbour operations, Fishing gear technology, Scientific research methods, Seamanship, Marine biology, Marine Conservation, Marine engineering, Marine geography, Pet store management, Tropical agriculture, Marine pollution, Pollution control, Animal science, Applied biology, Nautical science, Applied science, Biological sciences, Natural science, Freshwater biology",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Sparsholt, None, Winchester, SO21 2NF, Unknown"
Architecture,University of Suffolk,2024,Architecture,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University of Suffolk, Waterfront Building, , Ipswich, IP4 1QJ, Unknown"
Data Science,Coventry University,2024,"Mathematics, Data analysis",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Priory Street, None, Coventry, CV1 5FB, Unknown"
Journalism,University of Winchester,2024,"Journalism, Broadcast journalism, Broadcasting, Media production",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Sparkford Road, None, Winchester, SO22 4NR, Unknown"
Anthropology and Politics,University of Aberdeen,2024,"Anthropology, Politics, Social sciences, International relations",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University Office, King's College, Aberdeen, AB24 3FX, Unknown"
